M06ae,2.84,2.59,4.17,5.18,3.49,1.82,1.80,1.76,1.76
M07ae,2.43,2.18,2.41,3.25,3.64,1.82,1.60,1.65,1.49
M08ae,3.13,2.98,3.81,4.98,2.95,2.75,2.29,2.31,2.43
M09ae,2.03,1.99,1.94,1.67,1.60,1.53,1.36,1.11,0.91
M10ae,3.80,3.39,3.78,4.85,2.92,2.67,2.49,2.52,2.65
M12ae,5.82,4.75,4.29,5.10,4.02,3.17,3.06,2.71,2.60
M13ae,4.57,4.05,4.07,4.89,3.87,3.22,3.11,2.95,2.77
M14ae,3.81,3.77,3.61,4.84,4.78,2.61,2.19,2.22,2.19
M11ae,5.51,4.73,4.57,6.44,4.86,3.39,3.36,3.28,3.05
M15ae,2.89,2.55,3.01,5.82,2.36,1.73,1.71,1.68,1.64
M16ae,3.39,3.06,4.28,3.48,2.65,2.13,1.95,1.90,1.83
M17ae,3.92,3.39,3.71,4.51,2.74,2.47,2.36,2.17,2.08
M18ae,2.27,2.09,2.11,2.53,3.35,1.52,1.52,1.51,1.53
M19ae,2.94,2.78,3.51,3.34,2.79,2.51,2.15,2.21,2.24
M01be,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
M02be,0.06,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03
M03be,0.07,0.06,0.07,0.07,0.05,0.04,0.04,0.04,0.04
M04be,0.08,0.07,0.06,0.08,0.08,0.05,0.05,0.05,0.05
M05be,0.05,0.04,0.04,0.06,0.07,0.04,0.04,0.04,0.04
M06be,0.04,0.04,0.07,0.08,0.06,0.03,0.03,0.03,0.03
M07be,0.04,0.04,0.04,0.05,0.06,0.03,0.03,0.03,0.02
M08be,0.05,0.05,0.06,0.08,0.05,0.04,0.04,0.04,0.04
M09be,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
M10be,0.06,0.05,0.06,0.08,0.05,0.04,0.04,0.04,0.04
M11be,0.09,0.08,0.07,0.10,0.08,0.06,0.05,0.05,0.05
M12be,0.09,0.08,0.07,0.08,0.06,0.05,0.05,0.04,0.04
M13be,0.08,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.05
